date,site,Hs,Td,dir,Ta,temp
11/8/07,San Diego,1.1,15.38,210,10.18,17.8
11/9/07,San Diego,1.02,15.38,201,8.54,17.5
11/10/07,San Diego,0.86,14.29,206,4.93,17.5
11/11/07,San Diego,1.05,13.33,217,6.23,17.4
11/12/07,San Diego,1.27,7.14,269,6.31,15.3
11/13/07,San Diego,1.09,13.33,276,6.32,17.2
11/14/07,San Diego,1.06,15.38,284,8.01,17.4
11/15/07,San Diego,1.02,12.5,279,9.01,17.8
11/16/07,San Diego,0.94,15.38,287,6.75,17.5
11/17/07,San Diego,1.19,12.5,265,7.63,17.5
11/18/07,San Diego,1.56,14.29,275,9.44,17.2
11/19/07,San Diego,1.14,14.29,284,7.99,17.1
11/20/07,San Diego,1.24,12.5,282,7.76,16.5
11/21/07,San Diego,1.43,9.09,277,7.46,16.5
11/22/07,San Diego,1.18,9.09,273,7.23,16.4
11/23/07,San Diego,1.24,16.67,297,11.47,16.5
11/24/07,San Diego,1.21,13.33,284,6.81,16.3
11/25/07,San Diego,0.8,16.67,277,7.16,16.4
11/26/07,San Diego,1.37,15.38,275,10.3,16
11/27/07,San Diego,1.15,13.33,255,7.7,15.9
11/28/07,San Diego,0.8,11.11,265,7.69,16
11/29/07,San Diego,1,13.33,272,8.07,16.4
11/30/07,San Diego,0.92,11.76,275,8.74,16.4
12/1/07,San Diego,2.37,7.14,204,5.63,15.9
12/2/07,San Diego,1.35,14.29,276,6.56,15.1
12/3/07,San Diego,1.42,4.76,339,4.94,15.1
12/4/07,San Diego,1.2,15.38,280,5.39,15.2
12/5/07,San Diego,3.21,14.29,277,12.71,15.7
12/6/07,San Diego,2.94,14.29,286,10.66,15.8
12/7/07,San Diego,1.85,12.5,275,7.14,15.8
12/8/07,San Diego,2.75,10.53,277,7.25,15.7
12/9/07,San Diego,1.8,9.88,268,6.93,15.5
12/10/07,San Diego,1,11.11,272,6.29,15.1
12/11/07,San Diego,1.01,14.29,263,5.92,15.2
12/12/07,San Diego,0.72,7.69,276,5.71,15.6
12/13/07,San Diego,0.8,16.67,204,4.95,15.5
12/14/07,San Diego,0.91,15.38,258,8.96,15.4
12/15/07,San Diego,1,13.33,275,9.6,15.2
12/16/07,San Diego,0.96,15.38,279,8.23,15.1
12/17/07,San Diego,1.3,14.29,289,9.31,15.4
12/18/07,San Diego,1.26,13.33,277,9.02,15.3
12/19/07,San Diego,1.48,14.29,272,8.79,15.2
12/20/07,San Diego,1.55,13.33,282,8.99,15.2
12/21/07,San Diego,1.82,6.25,282,5.49,15.2
12/22/07,San Diego,2.04,12.5,280,8.3,14.9
12/23/07,San Diego,1.41,12.5,273,7.42,14.6
12/24/07,San Diego,0.93,18.18,272,8.07,14.7
12/25/07,San Diego,1.38,11.11,290,7.39,14.8
12/26/07,San Diego,1.59,15.38,275,8.97,14.7
12/27/07,San Diego,3.14,9.09,287,7.37,14.5
12/28/07,San Diego,1.63,16.67,276,7.13,14.2
12/29/07,San Diego,1.13,14.29,283,7.76,14
12/30/07,San Diego,0.9,10.53,273,7.36,13.3
12/31/07,San Diego,1.16,14.29,290,7.71,13.6
1/1/08,San Diego,1.38,14.29,276,7.2,13.9
1/2/08,San Diego,0.92,12.5,252,6.5,13.9
1/3/08,San Diego,0.6,14.29,200,10.35,14
1/4/08,San Diego,1.71,13.33,276,11.21,13.8
1/5/08,San Diego,1.66,12.5,286,5.58,13.1
1/6/08,San Diego,3.05,16.67,283,10.86,13.7
1/7/08,San Diego,2.64,14.29,283,6.73,13.9
1/8/08,San Diego,2.53,9.88,275,7.63,14.1
1/9/08,San Diego,1.32,12.5,275,7.64,14
1/10/08,San Diego,1.25,20,289,7.81,13.9
1/11/08,San Diego,1.69,14.29,284,9.7,14
1/12/08,San Diego,1.59,20,280,10.17,14.2
1/13/08,San Diego,2.13,16.67,280,11.99,14.2
1/14/08,San Diego,2.11,15.38,275,12.55,14
1/15/08,San Diego,1.44,13.33,276,8.9,13.9
1/16/08,San Diego,1.39,15.38,206,8.99,14
1/17/08,San Diego,1.17,14.29,230,7.87,14.1
1/18/08,San Diego,1.15,13.33,246,6.98,13.8
1/19/08,San Diego,0.88,18.18,221,10.22,13.5
1/20/08,San Diego,0.88,16.67,221,10.6,13.4
1/21/08,San Diego,1,15.38,269,6.95,13.6
1/22/08,San Diego,0.94,14.29,259,9.84,13.8
1/23/08,San Diego,0.82,16.67,192,8.99,13.8
1/24/08,San Diego,1.65,5.88,182,5.41,13.8
1/25/08,San Diego,1.92,5.56,182,5.36,13.6
1/26/08,San Diego,1.4,13.33,258,7.2,13.6
1/27/08,San Diego,1.63,14.29,248,6.18,13.6
1/28/08,San Diego,2.14,9.09,234,7.12,13.5
1/29/08,San Diego,1.8,10.53,268,6.89,13.5
1/30/08,San Diego,1.38,15.38,198,7.56,13.5
1/31/08,San Diego,1.79,7.14,292,6.92,13.4
2/1/08,San Diego,1.3,15.38,267,8.36,13.5
2/2/08,San Diego,1.75,7.69,289,6.36,13.5
2/3/08,San Diego,1.75,13.33,281,7.46,13.5
2/4/08,San Diego,2.55,7.14,275,6.17,13.5
2/5/08,San Diego,2.39,11.11,283,7.83,13.5
2/6/08,San Diego,1.34,15.38,269,8.11,13.5
2/7/08,San Diego,1.27,12.5,265,7.18,13.6
2/8/08,San Diego,0.84,13.33,274,7.08,13.7
2/9/08,San Diego,1,22.22,285,8.13,13.8
2/10/08,San Diego,1.18,18.18,276,11.43,14
2/11/08,San Diego,0.96,16.67,262,10.99,13.9
2/12/08,San Diego,1.28,14.29,279,11.46,13.9
2/13/08,San Diego,1.26,20,283,8.66,13.9
2/14/08,San Diego,1.21,16.67,271,6.99,13.9
2/15/08,San Diego,1.36,15.38,267,10.19,13.6
2/16/08,San Diego,1.47,20,278,7.85,13.6
2/17/08,San Diego,1.3,16.67,283,9.28,13.5
2/18/08,San Diego,1.05,15.38,281,8.47,13.8
2/19/08,San Diego,0.97,12.5,258,6.78,13.7
2/20/08,San Diego,0.75,15.38,272,7.21,13.7
2/21/08,San Diego,1.47,13.33,267,6.26,13.8
2/22/08,San Diego,1.53,12.5,279,6.44,13.8
2/23/08,San Diego,1.62,14.29,278,7.99,13.6
2/24/08,San Diego,1.13,13.33,271,7.12,13.5
2/25/08,San Diego,3.71,16.67,267,12.76,13.6
2/26/08,San Diego,2.1,13.33,278,9.23,14
2/27/08,San Diego,1.2,12.5,269,8.23,14.1
2/28/08,San Diego,0.98,15.38,207,9.06,14.6
2/29/08,San Diego,1.75,15.38,237,10.21,13.9
3/1/08,San Diego,1.5,15.38,202,11.54,14
3/2/08,San Diego,1.42,14.29,222,7.91,14.1
3/3/08,San Diego,1.47,15.38,247,8.16,14.1
3/4/08,San Diego,1.39,13.33,240,8.85,14.3
3/5/08,San Diego,1.13,15.38,186,8.31,14.5
3/6/08,San Diego,1.27,14.29,188,10.11,14.5
3/7/08,San Diego,1.09,15.38,193,10.05,14.5
3/8/08,San Diego,1.18,13.33,230,7.55,14.8
3/9/08,San Diego,1.03,12.5,226,6.63,14.9
3/10/08,San Diego,1.16,13.33,272,8.39,14.9
3/11/08,San Diego,1.09,11.76,260,9.44,15.5
3/12/08,San Diego,1.23,18.18,200,11.44,15.8
3/13/08,San Diego,1.77,16.67,198,9.05,15.5
3/14/08,San Diego,1.53,14.29,189,6.97,15.5
3/15/08,San Diego,2.07,16.67,274,7.74,15.1
3/16/08,San Diego,2.63,8.33,285,6.74,14.5
3/17/08,San Diego,2.67,11.76,276,8.08,13.7
3/18/08,San Diego,1.5,11.76,279,6.57,14.6
3/19/08,San Diego,1.04,15.38,286,7.34,14.7
3/20/08,San Diego,1.14,13.33,269,7.47,14.8
3/21/08,San Diego,1.13,14.29,268,6.48,14.8
3/22/08,San Diego,1.04,11.76,279,6.82,15.2
3/23/08,San Diego,1.3,11.76,285,7.81,15.5
3/24/08,San Diego,1.05,14.29,206,7.16,16
3/25/08,San Diego,1.26,18.18,198,6.49,16.2
3/26/08,San Diego,1.05,10.53,275,7.13,16.1
3/27/08,San Diego,1.81,13.33,274,6.67,15.5
3/28/08,San Diego,1.82,14.29,212,7.33,15.2
3/29/08,San Diego,1.83,8.33,276,6.97,15.2
3/30/08,San Diego,1.08,15.38,202,5.3,15
3/31/08,San Diego,1.91,8.33,290,6.53,15.2
4/1/08,San Diego,1.06,16.67,217,5.87,15.3
4/2/08,San Diego,0.74,15.38,216,5.53,15.3
4/3/08,San Diego,0.82,15.38,203,9.07,15.1
4/4/08,San Diego,1.27,14.29,233,6.86,15.2
4/5/08,San Diego,1.16,15.38,215,6.52,15
4/6/08,San Diego,1.41,14.29,217,6.44,15.2
4/7/08,San Diego,1.03,13.33,237,6.7,15.4
4/8/08,San Diego,1.46,9.09,272,6.53,15.3
4/9/08,San Diego,2.55,8.33,279,6.66,14.7
4/10/08,San Diego,1.8,7.69,279,6.22,14.6
4/11/08,San Diego,1.2,8.33,275,6.56,15.1
4/12/08,San Diego,1,15.38,189,6.41,15.3
4/13/08,San Diego,0.79,13.33,203,8.11,16
4/14/08,San Diego,0.82,14.29,189,7.83,16.2
4/15/08,San Diego,1.63,14.29,254,6.72,16.5
4/16/08,San Diego,2.16,8.33,281,7.23,16.2
4/17/08,San Diego,1.46,11.11,274,7.32,16.2
4/18/08,San Diego,0.99,15.38,213,7.78,16.5
4/19/08,San Diego,1.14,20,193,6.71,16.5
4/20/08,San Diego,1.78,18.18,184,6.94,16
4/21/08,San Diego,1.83,16.67,195,6.75,15.9
4/22/08,San Diego,1.44,7.69,279,6.67,15.8
4/23/08,San Diego,1.53,7.69,279,5.86,16
4/24/08,San Diego,1.46,6.67,288,5.54,15.6
4/25/08,San Diego,1.21,8.33,275,6.43,15.5
4/26/08,San Diego,1.06,8.33,274,6.58,16
4/27/08,San Diego,0.91,14.29,199,7.01,16.9
4/28/08,San Diego,0.93,12.5,238,7.81,17.8
4/29/08,San Diego,1.16,12.5,251,7.9,18.4
4/30/08,San Diego,2.09,10.53,268,7.14,18
5/1/08,San Diego,1.88,11.11,278,7.14,17.2
5/2/08,San Diego,1.54,16.67,222,7.89,17.3
5/3/08,San Diego,1.33,16.67,219,7.67,16.9
5/4/08,San Diego,1.51,15.38,217,6.69,17.5
5/5/08,San Diego,1.17,14.29,207,6.3,16.8
5/6/08,San Diego,1.01,13.33,226,6.65,16.6
5/7/08,San Diego,0.96,14.29,186,6.1,16.4
5/8/08,San Diego,1.09,13.33,237,5.74,16.6
5/9/08,San Diego,1.19,11.11,276,5.97,16.8
5/10/08,San Diego,1,15.38,184,6.66,16.8
5/11/08,San Diego,1.09,15.38,184,7.62,17.1
5/12/08,San Diego,0.84,14.29,185,7.87,17
5/13/08,San Diego,1.13,15.38,188,6.36,16.9
5/14/08,San Diego,1.37,10.53,286,6.64,16.6
5/15/08,San Diego,0.92,13.33,191,5.5,17.4
5/16/08,San Diego,0.73,11.11,244,5.92,17.6
5/17/08,San Diego,0.9,13.33,244,5.92,17.5
5/18/08,San Diego,0.94,12.5,233,7.04,18.4
5/19/08,San Diego,1.1,15.38,189,10.15,18.4
5/20/08,San Diego,1.64,15.38,178,9.5,18.6
5/21/08,San Diego,1.32,15.38,178,7.89,18.1
5/22/08,San Diego,2.27,10.53,269,7.53,17.3
5/23/08,San Diego,2.06,10.53,275,7.53,16.5
5/24/08,San Diego,1.44,13.33,250,7.39,15.8
5/25/08,San Diego,0.86,13.33,184,7.59,16.1
5/26/08,San Diego,0.8,11.76,189,5.77,15.9
5/27/08,San Diego,1.08,14.29,209,5.93,16.2
5/28/08,San Diego,1.08,13.33,216,5.21,16.4
5/29/08,San Diego,1.01,5.26,290,5.01,17
5/30/08,San Diego,1.03,5.88,286,5.43,17
5/31/08,San Diego,1.1,16.67,177,5.85,16.7
6/1/08,San Diego,1.15,14.29,186,6.03,17.2
6/2/08,San Diego,0.86,13.33,196,5.66,17.8
6/3/08,San Diego,1.1,7.14,282,6.08,17.6
6/4/08,San Diego,1.07,6.25,272,6.15,17.6
6/5/08,San Diego,1.89,9.09,282,7.24,16.8
6/6/08,San Diego,1.07,15.38,192,7.5,17.7
6/7/08,San Diego,1.37,9.88,276,7.17,18.5
6/8/08,San Diego,1.24,12.5,271,7.74,17
6/9/08,San Diego,1.12,20,189,9.68,17.8
6/10/08,San Diego,1.17,16.67,206,11.15,17.8
6/11/08,San Diego,1.01,15.38,198,9.06,17.6
6/12/08,San Diego,1.08,15.38,192,9.19,17
6/13/08,San Diego,1.28,13.33,193,9.92,16.9
6/14/08,San Diego,0.96,11.76,193,7.32,17
6/15/08,San Diego,1.15,15.38,210,6.4,17
6/16/08,San Diego,1.17,16.67,205,7.16,17.3
6/17/08,San Diego,1.25,16.67,212,8.15,17.9
6/18/08,San Diego,1.32,16.67,207,8.75,18.4
6/19/08,San Diego,1.28,15.38,215,10.58,19
6/20/08,San Diego,1.43,15.38,203,12.05,18.6
6/21/08,San Diego,1.15,16.67,192,11.69,19.2
6/22/08,San Diego,0.83,15.38,202,9.18,20.1
6/23/08,San Diego,19.2,15.38,202,9.18,20.1
6/24/08,San Diego,1.37,14.29,179,6.24,19.6
6/25/08,San Diego,0.96,13.33,185,6.36,20
6/26/08,San Diego,0.99,16.67,195,6.9,18.9
6/27/08,San Diego,0.97,15.38,195,7.48,19
6/28/08,San Diego,0.85,14.29,200,8.69,19
6/29/08,San Diego,1.06,16.67,202,6.55,19.2
6/30/08,San Diego,1.33,16.67,198,6.16,19.6
7/1/08,San Diego,1.47,15.38,199,6.56,19.7
7/2/08,San Diego,1.36,14.29,212,6.19,18.8
7/3/08,San Diego,1.24,15.38,184,6.81,19.9
7/4/08,San Diego,1.33,14.29,198,8.07,20
7/5/08,San Diego,1.39,16.67,205,7.7,20
7/6/08,San Diego,1.13,14.29,207,6.8,20
7/7/08,San Diego,0.98,13.33,193,7.51,20.1
7/8/08,San Diego,1.11,13.33,217,8.37,18.7
7/9/08,San Diego,0.96,11.11,251,8.59,17.7
7/10/08,San Diego,0.78,12.5,220,7.53,18
7/11/08,San Diego,0.76,11.11,189,7.71,18.4
7/12/08,San Diego,0.85,12.5,186,9.29,18.9
7/13/08,San Diego,0.98,13.33,189,9.07,19.6
7/14/08,San Diego,0.91,12.5,200,6.52,20
7/15/08,San Diego,0.91,15.38,236,5.37,20.6
7/16/08,San Diego,1.06,15.38,233,5.36,21
7/17/08,San Diego,1.05,13.33,222,5.68,21.2
7/18/08,San Diego,0.88,14.29,200,6.98,21
7/19/08,San Diego,1.39,10.53,184,6.93,21
7/20/08,San Diego,1.18,16.67,184,10.24,21.1
7/21/08,San Diego,1.2,15.38,181,11.18,20.6
7/22/08,San Diego,1.02,14.29,182,7.65,20.7
7/23/08,San Diego,1,10.53,168,8.03,20.3
7/24/08,San Diego,1.22,16.67,191,7.76,21.1
7/25/08,San Diego,1.24,15.38,192,7.78,21.1
7/26/08,San Diego,1.15,16.67,198,9.82,21.7
7/27/08,San Diego,0.97,15.38,195,9.99,21.7
7/28/08,San Diego,0.91,15.38,186,9.78,20.8
7/29/08,San Diego,0.9,13.33,189,7.51,21.4
7/30/08,San Diego,0.94,13.33,188,9.7,21.1
7/31/08,San Diego,1.22,16.67,185,10.99,20.1
8/1/08,San Diego,1.02,14.29,186,9.06,20.3
8/2/08,San Diego,0.87,14.29,186,8.21,21.4
8/3/08,San Diego,0.91,14.29,199,7.9,21.1
8/4/08,San Diego,0.78,13.33,179,8.56,21.5
8/5/08,San Diego,0.8,15.38,216,7.82,21.6
8/6/08,San Diego,0.88,14.29,212,8,21.5
8/7/08,San Diego,1.04,13.33,196,6.6,21.8
8/8/08,San Diego,1.06,12.5,207,5.98,21.9
8/9/08,San Diego,0.94,15.38,199,6.05,22.2
8/10/08,San Diego,0.96,14.29,193,6.05,22.6
8/11/08,San Diego,1.14,13.33,195,5.79,22.6
8/12/08,San Diego,1.2,11.76,191,6.49,22.2
8/13/08,San Diego,1.22,15.38,192,7.66,21.9
8/14/08,San Diego,1,15.38,179,7.56,21.7
8/15/08,San Diego,0.92,15.38,175,7.09,22.2
8/16/08,San Diego,0.88,14.29,188,7.63,22.2
8/17/08,San Diego,0.94,12.5,195,7.07,22.3
8/18/08,San Diego,0.92,12.5,184,5.7,22.5
8/19/08,San Diego,0.9,11.76,188,5.6,22.4
8/20/08,San Diego,0.93,16.67,212,5.76,22
8/21/08,San Diego,0.84,15.38,215,7.26,21.5
8/22/08,San Diego,0.81,14.29,188,8,21.4
8/23/08,San Diego,0.9,13.33,243,9.22,21.6
8/24/08,San Diego,0.95,11.76,182,7.14,22
8/25/08,San Diego,0.89,10.53,193,5.5,22
8/26/08,San Diego,0.98,11.76,182,6.77,22
8/27/08,San Diego,1.11,9.09,241,7.54,22.3
8/28/08,San Diego,1.04,10.53,220,6.68,22.4
8/29/08,San Diego,1.03,14.29,199,6.67,22.2
8/30/08,San Diego,0.95,13.33,205,7.85,22.2
8/31/08,San Diego,0.87,13.33,179,7.32,22
9/1/08,San Diego,1.2,13.33,188,8.39,21.9
9/2/08,San Diego,1.22,12.5,205,8.68,22
9/3/08,San Diego,1.23,16.67,181,8.47,22
9/4/08,San Diego,1.18,16.67,177,8.67,21.9
9/5/08,San Diego,1.23,13.33,191,7.6,22.1
9/6/08,San Diego,1.02,14.29,193,6.4,22.2
9/7/08,San Diego,1.02,18.18,226,6.11,22.1
9/8/08,San Diego,1.17,16.67,198,7.34,22.1
9/9/08,San Diego,1.23,15.38,210,9.43,21.9
9/10/08,San Diego,1.09,15.38,200,7.49,22.2
9/11/08,San Diego,1.15,16.67,206,7.68,22.3
9/12/08,San Diego,1.09,14.29,189,7.12,21.6
9/13/08,San Diego,1.05,14.29,189,8.2,21.2
9/14/08,San Diego,0.87,12.5,185,6.89,20.6
9/15/08,San Diego,1.08,5,285,5.34,21.1
9/16/08,San Diego,1.49,6.67,278,6.24,20.6
9/17/08,San Diego,1.15,16.67,192,7.27,20.8
9/18/08,San Diego,1.28,15.38,189,7.73,20.5
9/19/08,San Diego,1.63,15.38,178,7.2,20.5
9/20/08,San Diego,1.68,14.29,202,5.99,20
9/21/08,San Diego,1.65,11.76,274,7.07,19.9
9/22/08,San Diego,1.39,7.14,274,7.04,19.8
9/23/08,San Diego,1.06,7.14,283,7,20
9/24/08,San Diego,0.7,13.33,188,7.02,20.2
9/25/08,San Diego,1.05,18.18,206,5.66,20.2
9/26/08,San Diego,1.05,16.67,188,5.84,20.2
9/27/08,San Diego,1.24,16.67,179,6.8,20.4
9/28/08,San Diego,1.18,15.38,181,6.99,20.2
9/29/08,San Diego,1.17,5.26,283,5.23,19.5
9/30/08,San Diego,1.21,6.25,281,5.62,20.5
10/1/08,San Diego,0.89,15.38,192,6.77,21
10/2/08,San Diego,1.01,11.76,267,10.03,21.5
10/3/08,San Diego,1.4,13.33,271,8.72,21.9
10/4/08,San Diego,1.63,16.67,191,8.55,21.1
10/5/08,San Diego,1.46,15.38,178,7.55,20.6
10/6/08,San Diego,1.79,18.18,202,9.78,20.5
10/7/08,San Diego,1.45,16.67,196,9,20.5
10/8/08,San Diego,1.25,15.38,189,8.79,20.5
10/9/08,San Diego,1.17,14.29,189,7.98,20.8
10/10/08,San Diego,1.46,12.5,269,7.85,20.2
10/11/08,San Diego,2.69,8.33,285,6.8,19.9
10/12/08,San Diego,2.02,7.69,292,6.97,19.4
10/13/08,San Diego,1.21,5.26,293,5.18,19
10/14/08,San Diego,0.66,14.29,181,6.3,19.1
10/15/08,San Diego,0.97,15.38,252,10.15,18.6
10/16/08,San Diego,1,15.38,192,11.09,18.8
10/17/08,San Diego,0.87,14.29,193,9.79,18.4
10/18/08,San Diego,0.78,13.33,185,7.9,18.5
10/19/08,San Diego,0.91,11.76,188,5.82,18.9
10/20/08,San Diego,0.87,18.18,198,6.76,18.4
10/21/08,San Diego,1.16,18.18,212,8.37,18.7
10/22/08,San Diego,1.07,16.67,196,8.66,19
10/23/08,San Diego,0.88,14.29,195,9.01,19
10/24/08,San Diego,0.86,18.18,177,10.86,18.7
10/25/08,San Diego,1,16.67,182,12.11,18.8
10/26/08,San Diego,1.18,15.38,188,9.27,19
10/27/08,San Diego,1.18,15.38,271,8.73,18.9
10/28/08,San Diego,1.24,15.38,269,8.84,18.9
10/29/08,San Diego,1.06,13.33,274,6.53,19
10/30/08,San Diego,0.87,12.5,283,7.91,17.8
10/31/08,San Diego,0.76,13.33,216,8.25,18.1
11/1/08,San Diego,1.08,15.38,203,10.27,19
11/2/08,San Diego,1.04,14.29,199,9.04,19.1
11/3/08,San Diego,1.88,13.33,269,8.69,19
11/4/08,San Diego,1.62,11.11,279,7.39,19.4
11/5/08,San Diego,1.82,8.33,285,6.97,19
11/6/08,San Diego,1.26,15.38,186,6.73,19
11/7/08,San Diego,0.86,13.33,200,8.13,18.8
11/8/08,San Diego,0.92,15.38,200,9.95,18.8
11/9/08,San Diego,1.03,14.29,181,6.01,19
11/10/08,San Diego,3.06,10.53,278,7.71,17.6
11/11/08,San Diego,1.88,10.53,289,7.71,17.4
11/12/08,San Diego,1.16,18.18,207,7.83,17.5
11/13/08,San Diego,1.15,15.38,212,8.7,17.2
11/14/08,San Diego,1.39,13.33,265,9.02,17.5
11/15/08,San Diego,1.22,13.33,261,9.36,17.5
11/16/08,San Diego,1.14,13.33,250,9.44,17.6
11/17/08,San Diego,1.01,14.29,257,10.98,18
11/18/08,San Diego,0.77,12.5,205,10.94,18.3
11/19/08,San Diego,0.7,13.33,200,6.77,18
11/20/08,San Diego,0.83,10.53,269,6.33,18
11/21/08,San Diego,0.8,12.5,203,5.76,17.6
11/22/08,San Diego,1.54,14.29,282,10.14,17.9
11/23/08,San Diego,1.35,12.5,283,8.67,17.8
11/24/08,San Diego,1.06,11.11,288,9.05,17.9
11/25/08,San Diego,0.82,10.53,285,8.61,17.6
11/26/08,San Diego,1.38,12.5,274,9.25,17.4
11/27/08,San Diego,1.24,12.5,250,8.57,16.8
11/28/08,San Diego,1.32,15.38,275,6.81,17
11/29/08,San Diego,1.09,18.18,285,7.87,17.4
11/30/08,San Diego,1.86,14.29,276,12.29,17.5
12/1/08,San Diego,1.85,18.18,278,10.85,17
12/2/08,San Diego,1.26,15.38,288,10.55,17.6
12/3/08,San Diego,1.26,12.5,274,8.99,17.4
12/4/08,San Diego,1.15,11.76,271,9.71,17.2
12/5/08,San Diego,1.35,14.29,222,11.89,17.1
12/6/08,San Diego,1.07,13.33,258,10.8,17.2
12/7/08,San Diego,0.96,13.33,268,7.9,17.5
12/8/08,San Diego,1.35,14.29,265,7.23,17.3
12/9/08,San Diego,1.73,13.33,251,7.5,17.1
12/10/08,San Diego,1.05,13.33,241,7.75,17
12/11/08,San Diego,0.91,14.29,205,5.7,16.9
12/12/08,San Diego,0.81,13.33,188,6.33,16.9
12/13/08,San Diego,1.07,12.5,250,6.94,16.9
12/14/08,San Diego,2.57,7.69,296,6.31,16.4
12/15/08,San Diego,1.18,14.29,237,6.98,15.9
12/16/08,San Diego,1.55,7.14,250,6.19,15.8
12/17/08,San Diego,1.01,11.76,261,6.84,16
12/18/08,San Diego,1.83,7.69,161,5.52,15.5
12/19/08,San Diego,0.96,8.33,279,6.07,15.4
12/20/08,San Diego,0.81,6.67,279,4.93,15.5
12/21/08,San Diego,0.94,8.33,288,5.86,15.3
12/22/08,San Diego,0.7,8.33,276,6.7,15.5
12/23/08,San Diego,1.77,6.67,292,5.31,15.3
12/24/08,San Diego,1.25,14.29,278,6.84,15
12/25/08,San Diego,1.41,5,175,4.48,15
12/26/08,San Diego,3.14,7.69,281,6.9,15
12/27/08,San Diego,1.95,13.33,271,7.81,14.6
12/28/08,San Diego,1.13,11.76,288,5.9,14.5
12/29/08,San Diego,0.81,11.11,278,5.73,14.5
12/30/08,San Diego,0.75,15.38,245,7.4,14.5
12/31/08,San Diego,0.65,14.29,216,7.89,14.8
1/1/09,San Diego,0.77,13.33,267,7.95,14.5
1/2/09,San Diego,0.82,13.33,241,6.91,14.6
1/3/09,San Diego,0.98,15.38,276,7.37,14.5
1/4/09,San Diego,1.17,11.11,282,6.83,14.3
1/5/09,San Diego,1.45,16.67,202,7.79,14.5
1/6/09,San Diego,1.34,15.38,206,6.94,14.3
1/7/09,San Diego,1.3,14.29,238,8.03,14.2
1/8/09,San Diego,1.22,14.29,283,8.46,14
1/9/09,San Diego,1.02,13.33,264,7.16,14.2
1/10/09,San Diego,1.22,11.76,278,8.13,14.5
1/11/09,San Diego,0.81,11.76,250,8.38,14.3
1/12/09,San Diego,0.72,15.38,289,8.57,14.5
1/13/09,San Diego,0.7,13.33,281,10,14.5
1/14/09,San Diego,0.62,11.76,250,8.76,14.6
1/15/09,San Diego,0.45,13.33,260,9.24,14.6
1/16/09,San Diego,0.45,13.33,271,10.04,14.6
1/17/09,San Diego,0.61,20,281,12.06,14.8
1/18/09,San Diego,1.11,16.67,274,12.21,14.6
1/19/09,San Diego,1.06,15.38,275,12.37,14.8
1/20/09,San Diego,1.37,14.29,268,12.58,15
1/21/09,San Diego,1.23,14.29,260,11.69,14.8
1/22/09,San Diego,1.42,12.5,267,11.72,15
1/23/09,San Diego,0.99,11.11,279,8.3,15.1
1/24/09,San Diego,1.03,15.38,245,8.74,15.4
1/25/09,San Diego,1.42,14.29,251,10.11,15.1
1/26/09,San Diego,2.2,8.33,286,6.62,15
1/27/09,San Diego,1.66,15.38,282,7.5,14.8
1/28/09,San Diego,1.11,14.29,282,6.65,14.6
1/29/09,San Diego,0.83,13.33,267,7.18,14.5
1/30/09,San Diego,0.68,8.33,281,7.13,14.6
1/31/09,San Diego,0.59,15.38,209,8.61,14.5
2/1/09,San Diego,0.62,12.5,185,5.86,14.9
